2023-10-20 03:01:19,418 | train | INFO | Set Logger /home/kwy00/ysy/results/train/20231020_030119
2023-10-20 03:01:19,474 | train | INFO | Load data, train:10962 val:1000
2023-10-20 03:01:19,474 | train | INFO | Initiated early stopper, mode: min, best score: inf, patience: 10
2023-10-20 03:01:19,979 | train | INFO | --Train 0/30
2023-10-20 03:01:22,027 | train | INFO | batch: 0/686 loss: 1.8171621561050415
2023-10-20 03:05:21,514 | train | INFO | batch: 100/686 loss: 0.40796270966529846
2023-10-20 03:09:18,132 | train | INFO | batch: 200/686 loss: 0.14884814620018005
2023-10-20 03:13:12,378 | train | INFO | batch: 300/686 loss: 0.06012806296348572
2023-10-20 03:17:04,524 | train | INFO | batch: 400/686 loss: 0.03361641988158226
2023-10-20 03:20:56,236 | train | INFO | batch: 500/686 loss: 0.060813188552856445
2023-10-20 03:24:48,443 | train | INFO | batch: 600/686 loss: 0.03558172285556793
2023-10-20 03:28:03,533 | train | INFO | --Val 0/30
2023-10-20 03:28:05,366 | train | INFO | batch: 0/63 loss: 0.045360028743743896
2023-10-20 03:29:59,331 | train | INFO | Write row 0
2023-10-20 03:29:59,763 | train | INFO | --Train 1/30
2023-10-20 03:30:01,654 | train | INFO | batch: 0/686 loss: 0.05715828388929367
2023-10-20 03:33:52,344 | train | INFO | batch: 100/686 loss: 0.0443141832947731
2023-10-20 03:37:43,835 | train | INFO | batch: 200/686 loss: 0.028414323925971985
2023-10-20 03:41:35,068 | train | INFO | batch: 300/686 loss: 0.029571428894996643
2023-10-20 03:45:26,377 | train | INFO | batch: 400/686 loss: 0.02526659518480301
2023-10-20 03:49:16,700 | train | INFO | batch: 500/686 loss: 0.05382557958364487
2023-10-20 03:53:07,310 | train | INFO | batch: 600/686 loss: 0.02716156467795372
2023-10-20 03:56:21,694 | train | INFO | --Val 1/30
2023-10-20 03:56:23,546 | train | INFO | batch: 0/63 loss: 0.018562227487564087
2023-10-20 03:58:16,771 | train | INFO | Write row 1
2023-10-20 03:58:17,434 | train | INFO | --Train 2/30
2023-10-20 03:58:19,371 | train | INFO | batch: 0/686 loss: 0.031262073665857315
2023-10-20 04:02:10,403 | train | INFO | batch: 100/686 loss: 0.020003270357847214
2023-10-20 04:06:00,917 | train | INFO | batch: 200/686 loss: 0.027621110901236534
2023-10-20 04:09:51,173 | train | INFO | batch: 300/686 loss: 0.019177034497261047
2023-10-20 04:13:40,942 | train | INFO | batch: 400/686 loss: 0.029470840469002724
2023-10-20 04:17:31,036 | train | INFO | batch: 500/686 loss: 0.030762022361159325
2023-10-20 04:21:21,497 | train | INFO | batch: 600/686 loss: 0.02237592451274395
2023-10-20 04:24:35,798 | train | INFO | --Val 2/30
2023-10-20 04:24:37,623 | train | INFO | batch: 0/63 loss: 0.016507582738995552
2023-10-20 04:26:29,988 | train | INFO | Write row 2
2023-10-20 04:26:30,479 | train | INFO | --Train 3/30
2023-10-20 04:26:32,408 | train | INFO | batch: 0/686 loss: 0.020644623786211014
2023-10-20 04:30:22,816 | train | INFO | batch: 100/686 loss: 0.09748297929763794
2023-10-20 04:34:13,688 | train | INFO | batch: 200/686 loss: 0.019372327253222466
2023-10-20 04:38:03,563 | train | INFO | batch: 300/686 loss: 0.018728746101260185
2023-10-20 04:41:53,919 | train | INFO | batch: 400/686 loss: 0.027760371565818787
2023-10-20 04:45:43,648 | train | INFO | batch: 500/686 loss: 0.021232331171631813
2023-10-20 04:49:33,589 | train | INFO | batch: 600/686 loss: 0.024387232959270477
2023-10-20 04:52:47,536 | train | INFO | --Val 3/30
2023-10-20 04:52:49,369 | train | INFO | batch: 0/63 loss: 0.0204230435192585
2023-10-20 04:54:41,787 | train | INFO | Write row 3
2023-10-20 04:54:42,287 | train | INFO | --Train 4/30
2023-10-20 04:54:44,208 | train | INFO | batch: 0/686 loss: 0.02409731224179268
2023-10-20 04:58:34,129 | train | INFO | batch: 100/686 loss: 0.018161147832870483
2023-10-20 05:02:24,532 | train | INFO | batch: 200/686 loss: 0.02281232923269272
2023-10-20 05:06:14,377 | train | INFO | batch: 300/686 loss: 0.019443266093730927
2023-10-20 05:10:04,129 | train | INFO | batch: 400/686 loss: 0.017320897430181503
2023-10-20 05:13:54,959 | train | INFO | batch: 500/686 loss: 0.018779877573251724
2023-10-20 05:17:44,637 | train | INFO | batch: 600/686 loss: 0.016598423942923546
2023-10-20 05:20:57,958 | train | INFO | --Val 4/30
2023-10-20 05:20:59,770 | train | INFO | batch: 0/63 loss: 0.03586176410317421
2023-10-20 05:22:52,144 | train | INFO | Write row 4
2023-10-20 05:22:52,652 | train | INFO | --Train 5/30
2023-10-20 05:22:54,547 | train | INFO | batch: 0/686 loss: 0.015350962989032269
2023-10-20 05:26:43,851 | train | INFO | batch: 100/686 loss: 0.012936627492308617
2023-10-20 05:30:33,253 | train | INFO | batch: 200/686 loss: 0.020114809274673462
2023-10-20 05:34:23,542 | train | INFO | batch: 300/686 loss: 0.016359178349375725
2023-10-20 05:38:13,829 | train | INFO | batch: 400/686 loss: 0.01766373962163925
2023-10-20 05:42:04,319 | train | INFO | batch: 500/686 loss: 0.0313153900206089
2023-10-20 05:45:53,844 | train | INFO | batch: 600/686 loss: 0.016257483512163162
2023-10-20 05:49:07,957 | train | INFO | --Val 5/30
2023-10-20 05:49:09,762 | train | INFO | batch: 0/63 loss: 0.015140734612941742
2023-10-20 05:51:01,707 | train | INFO | Write row 5
2023-10-20 05:51:02,219 | train | INFO | --Train 6/30
