2023-10-18 04:22:40,995 | train | INFO | Set Logger /home/kwy00/ysy/results/train/20231018_042240
2023-10-18 04:22:41,029 | train | INFO | Load data, train:5481 val:1000
2023-10-18 04:22:41,030 | train | INFO | Initiated early stopper, mode: min, best score: inf, patience: 10
2023-10-18 04:22:51,512 | train | INFO | --Train 0/30
2023-10-18 04:22:59,353 | train | INFO | batch: 0/343 loss: 1.8069407939910889
2023-10-18 04:26:40,497 | train | INFO | batch: 100/343 loss: 0.12368186563253403
2023-10-18 04:30:15,277 | train | INFO | batch: 200/343 loss: 0.05025669187307358
2023-10-18 04:33:48,438 | train | INFO | batch: 300/343 loss: 0.025781827047467232
2023-10-18 04:35:20,798 | train | INFO | --Val 0/30
2023-10-18 04:35:22,509 | train | INFO | batch: 0/63 loss: 0.05513082817196846
2023-10-18 04:37:10,550 | train | INFO | Write row 0
2023-10-18 04:37:10,972 | train | INFO | --Train 1/30
2023-10-18 04:37:12,710 | train | INFO | batch: 0/343 loss: 0.04645292088389397
2023-10-18 04:40:45,297 | train | INFO | batch: 100/343 loss: 0.018819788470864296
2023-10-18 04:44:17,771 | train | INFO | batch: 200/343 loss: 0.02445485256612301
2023-10-18 04:47:50,735 | train | INFO | batch: 300/343 loss: 0.024880796670913696
2023-10-18 04:49:19,264 | train | INFO | --Val 1/30
2023-10-18 04:49:20,992 | train | INFO | batch: 0/63 loss: 0.01938876323401928
2023-10-18 04:51:05,589 | train | INFO | Write row 1
2023-10-18 04:51:06,221 | train | INFO | --Train 2/30
2023-10-18 04:51:07,959 | train | INFO | batch: 0/343 loss: 0.020711727440357208
2023-10-18 04:54:39,239 | train | INFO | batch: 100/343 loss: 0.016211012378335
2023-10-18 04:58:09,912 | train | INFO | batch: 200/343 loss: 0.015251721255481243
2023-10-18 05:01:40,520 | train | INFO | batch: 300/343 loss: 0.016217997297644615
2023-10-18 05:03:08,359 | train | INFO | --Val 2/30
2023-10-18 05:03:10,060 | train | INFO | batch: 0/63 loss: 0.01721493899822235
2023-10-18 05:04:53,449 | train | INFO | Write row 2
2023-10-18 05:04:53,938 | train | INFO | --Train 3/30
2023-10-18 05:04:55,705 | train | INFO | batch: 0/343 loss: 0.013639213517308235
2023-10-18 05:08:26,170 | train | INFO | batch: 100/343 loss: 0.01671481318771839
2023-10-18 05:11:56,382 | train | INFO | batch: 200/343 loss: 0.012932786718010902
2023-10-18 05:15:26,634 | train | INFO | batch: 300/343 loss: 0.013945179060101509
2023-10-18 05:16:54,281 | train | INFO | --Val 3/30
2023-10-18 05:16:55,982 | train | INFO | batch: 0/63 loss: 0.012918481603264809
2023-10-18 05:18:39,423 | train | INFO | Write row 3
2023-10-18 05:18:40,095 | train | INFO | --Train 4/30
2023-10-18 05:18:41,856 | train | INFO | batch: 0/343 loss: 0.01130021084100008
2023-10-18 05:22:11,873 | train | INFO | batch: 100/343 loss: 0.01183772087097168
2023-10-18 05:25:41,966 | train | INFO | batch: 200/343 loss: 0.012129712849855423
2023-10-18 05:29:12,074 | train | INFO | batch: 300/343 loss: 0.011981300078332424
2023-10-18 05:30:39,678 | train | INFO | --Val 4/30
2023-10-18 05:30:41,342 | train | INFO | batch: 0/63 loss: 0.04151212424039841
2023-10-18 05:32:24,576 | train | INFO | Write row 4
2023-10-18 05:32:25,081 | train | INFO | --Train 5/30
2023-10-18 05:32:26,823 | train | INFO | batch: 0/343 loss: 0.012297186069190502
2023-10-18 05:35:56,646 | train | INFO | batch: 100/343 loss: 0.011378291994333267
2023-10-18 05:39:26,686 | train | INFO | batch: 200/343 loss: 0.0105134854093194
2023-10-18 05:42:56,382 | train | INFO | batch: 300/343 loss: 0.009500064887106419
2023-10-18 05:44:24,073 | train | INFO | --Val 5/30
2023-10-18 05:44:25,779 | train | INFO | batch: 0/63 loss: 0.014288272708654404
2023-10-18 05:46:08,612 | train | INFO | Write row 5
2023-10-18 05:46:09,118 | train | INFO | --Train 6/30
2023-10-18 05:46:10,851 | train | INFO | batch: 0/343 loss: 0.010022247210144997
2023-10-18 05:49:39,939 | train | INFO | batch: 100/343 loss: 0.00904258992522955
2023-10-18 05:53:09,295 | train | INFO | batch: 200/343 loss: 0.009722191840410233
2023-10-18 05:56:38,571 | train | INFO | batch: 300/343 loss: 0.010030566714704037
2023-10-18 05:58:06,142 | train | INFO | --Val 6/30
2023-10-18 05:58:07,822 | train | INFO | batch: 0/63 loss: 0.0128941610455513
2023-10-18 05:59:51,062 | train | INFO | Write row 6
2023-10-18 05:59:51,578 | train | INFO | --Train 7/30
2023-10-18 05:59:53,311 | train | INFO | batch: 0/343 loss: 0.008185789920389652
2023-10-18 06:03:22,556 | train | INFO | batch: 100/343 loss: 0.009538755752146244
2023-10-18 06:06:51,732 | train | INFO | batch: 200/343 loss: 0.008843859657645226
2023-10-18 06:10:20,925 | train | INFO | batch: 300/343 loss: 0.008425919339060783
2023-10-18 06:11:48,321 | train | INFO | --Val 7/30
2023-10-18 06:11:50,041 | train | INFO | batch: 0/63 loss: 0.014011267572641373
2023-10-18 06:13:33,258 | train | INFO | Write row 7
2023-10-18 06:13:33,781 | train | INFO | --Train 8/30
2023-10-18 06:13:35,525 | train | INFO | batch: 0/343 loss: 0.010766918770968914
2023-10-18 06:17:04,815 | train | INFO | batch: 100/343 loss: 0.008264299482107162
2023-10-18 06:20:34,207 | train | INFO | batch: 200/343 loss: 0.008049877360463142
2023-10-18 06:24:03,271 | train | INFO | batch: 300/343 loss: 0.009455603547394276
2023-10-18 06:25:30,531 | train | INFO | --Val 8/30
2023-10-18 06:25:32,231 | train | INFO | batch: 0/63 loss: 0.012382536195218563
2023-10-18 06:27:15,295 | train | INFO | Write row 8
2023-10-18 06:27:15,822 | train | INFO | --Train 9/30
2023-10-18 06:27:17,558 | train | INFO | batch: 0/343 loss: 0.008398524485528469
2023-10-18 06:30:47,079 | train | INFO | batch: 100/343 loss: 0.008825804106891155
2023-10-18 06:34:16,036 | train | INFO | batch: 200/343 loss: 0.0074721635319292545
2023-10-18 06:37:45,129 | train | INFO | batch: 300/343 loss: 0.007393972482532263
2023-10-18 06:39:12,543 | train | INFO | --Val 9/30
2023-10-18 06:39:14,247 | train | INFO | batch: 0/63 loss: 0.013922413811087608
2023-10-18 06:40:57,386 | train | INFO | Write row 9
2023-10-18 06:40:57,923 | train | INFO | --Train 10/30
2023-10-18 06:40:59,657 | train | INFO | batch: 0/343 loss: 0.009053248912096024
2023-10-18 06:44:28,858 | train | INFO | batch: 100/343 loss: 0.007454555016011
2023-10-18 06:47:58,081 | train | INFO | batch: 200/343 loss: 0.007181395776569843
2023-10-18 06:51:27,129 | train | INFO | batch: 300/343 loss: 0.006528225727379322
2023-10-18 06:52:54,359 | train | INFO | --Val 10/30
2023-10-18 06:52:56,051 | train | INFO | batch: 0/63 loss: 0.01203180756419897
2023-10-18 06:54:39,012 | train | INFO | Write row 10
2023-10-18 06:54:39,556 | train | INFO | --Train 11/30
2023-10-18 06:54:41,304 | train | INFO | batch: 0/343 loss: 0.0077030248939991
2023-10-18 06:58:10,666 | train | INFO | batch: 100/343 loss: 0.006239506881684065
2023-10-18 07:01:39,483 | train | INFO | batch: 200/343 loss: 0.0061256238259375095
2023-10-18 07:05:08,588 | train | INFO | batch: 300/343 loss: 0.006875465624034405
2023-10-18 07:06:35,847 | train | INFO | --Val 11/30
2023-10-18 07:06:37,524 | train | INFO | batch: 0/63 loss: 0.01155468076467514
2023-10-18 07:08:20,932 | train | INFO | Write row 11
2023-10-18 07:08:21,484 | train | INFO | --Train 12/30
2023-10-18 07:08:23,218 | train | INFO | batch: 0/343 loss: 0.007599617820233107
2023-10-18 07:11:52,193 | train | INFO | batch: 100/343 loss: 0.0067046815529465675
2023-10-18 07:15:21,625 | train | INFO | batch: 200/343 loss: 0.007879874669015408
2023-10-18 07:18:50,672 | train | INFO | batch: 300/343 loss: 0.006289343349635601
2023-10-18 07:20:18,001 | train | INFO | --Val 12/30
2023-10-18 07:20:19,690 | train | INFO | batch: 0/63 loss: 0.010147251188755035
2023-10-18 07:22:02,598 | train | INFO | Write row 12
2023-10-18 07:22:03,157 | train | INFO | --Train 13/30
2023-10-18 07:22:04,891 | train | INFO | batch: 0/343 loss: 0.0059446487575769424
2023-10-18 07:25:34,192 | train | INFO | batch: 100/343 loss: 0.00816143024712801
2023-10-18 07:29:03,208 | train | INFO | batch: 200/343 loss: 0.005775315687060356
2023-10-18 07:32:32,111 | train | INFO | batch: 300/343 loss: 0.008138584904372692
2023-10-18 07:33:59,634 | train | INFO | --Val 13/30
2023-10-18 07:34:01,339 | train | INFO | batch: 0/63 loss: 0.01048547774553299
2023-10-18 07:35:44,593 | train | INFO | Write row 13
2023-10-18 07:35:45,161 | train | INFO | --Train 14/30
2023-10-18 07:35:46,905 | train | INFO | batch: 0/343 loss: 0.0064526027999818325
2023-10-18 07:39:15,787 | train | INFO | batch: 100/343 loss: 0.006804211065173149
2023-10-18 07:42:44,809 | train | INFO | batch: 200/343 loss: 0.006428275257349014
2023-10-18 07:46:13,821 | train | INFO | batch: 300/343 loss: 0.0066091627813875675
2023-10-18 07:47:41,241 | train | INFO | --Val 14/30
2023-10-18 07:47:42,911 | train | INFO | batch: 0/63 loss: 0.011318730190396309
2023-10-18 07:49:25,646 | train | INFO | Write row 14
2023-10-18 07:49:26,217 | train | INFO | --Train 15/30
2023-10-18 07:49:27,952 | train | INFO | batch: 0/343 loss: 0.006877430249005556
2023-10-18 07:52:57,231 | train | INFO | batch: 100/343 loss: 0.006713494658470154
2023-10-18 07:56:25,917 | train | INFO | batch: 200/343 loss: 0.007105340249836445
2023-10-18 07:59:54,938 | train | INFO | batch: 300/343 loss: 0.005843012593686581
2023-10-18 08:01:22,197 | train | INFO | --Val 15/30
2023-10-18 08:01:23,906 | train | INFO | batch: 0/63 loss: 0.012651167809963226
2023-10-18 08:03:07,302 | train | INFO | Write row 15
2023-10-18 08:03:07,882 | train | INFO | --Train 16/30
2023-10-18 08:03:09,629 | train | INFO | batch: 0/343 loss: 0.007422836031764746
2023-10-18 08:06:38,772 | train | INFO | batch: 100/343 loss: 0.006406862288713455
2023-10-18 08:10:07,717 | train | INFO | batch: 200/343 loss: 0.00554640730842948
2023-10-18 08:13:36,899 | train | INFO | batch: 300/343 loss: 0.00572684733197093
2023-10-18 08:15:04,226 | train | INFO | --Val 16/30
2023-10-18 08:15:05,933 | train | INFO | batch: 0/63 loss: 0.011076386086642742
2023-10-18 08:16:48,678 | train | INFO | Write row 16
2023-10-18 08:16:49,266 | train | INFO | --Train 17/30
2023-10-18 08:16:51,010 | train | INFO | batch: 0/343 loss: 0.00677340105175972
2023-10-18 08:20:20,366 | train | INFO | batch: 100/343 loss: 0.005850623827427626
2023-10-18 08:23:49,029 | train | INFO | batch: 200/343 loss: 0.004914337769150734
