epoch_index,train_serial,train_loss,train_elapsed_time,train_map,train_map_50,train_map_75,val_loss,val_elapsed_time,val_map,val_map_50,val_map_75
0,20231018_215039,0.17685313643371747,731.7262804508209,tensor(0.8368),tensor(0.8384),tensor(0.8384),0.028244831466249058,102.06097865104675,tensor(0.9990),tensor(0.9999),tensor(0.9999)
1,20231018_215039,0.026380815545949576,705.0034129619598,tensor(0.9991),tensor(0.9994),tensor(0.9994),0.022306883323287206,102.59249758720398,tensor(0.9993),tensor(0.9997),tensor(0.9997)
2,20231018_215039,0.01667876544058236,701.7980029582977,tensor(0.9999),tensor(1.),tensor(1.),0.017269496052038102,101.00684571266174,tensor(0.9995),tensor(1.0000),tensor(0.9994)
3,20231018_215039,0.013790458902369088,700.5694582462311,tensor(1.0000),tensor(1.),tensor(1.),0.013885491719794653,100.85966801643372,tensor(0.9996),tensor(1.),tensor(0.9994)
4,20231018_215039,0.01731177330364639,702.0045473575592,tensor(0.9989),tensor(0.9989),tensor(0.9989),0.022986213573151164,102.4243061542511,tensor(0.9994),tensor(0.9998),tensor(0.9993)
5,20231018_215039,0.012894970161226678,703.0565013885498,tensor(1.),tensor(1.),tensor(1.),0.014023069602747759,100.83041977882385,tensor(0.9996),tensor(1.0000),tensor(0.9994)
6,20231018_215039,0.010712534324985552,701.0413675308228,tensor(1.),tensor(1.),tensor(1.),0.013567800751872479,101.2871265411377,tensor(0.9997),tensor(0.9999),tensor(0.9999)
7,20231018_215039,0.009862510362536844,702.297779083252,tensor(1.),tensor(1.),tensor(1.),0.013808864020993785,101.21116089820862,tensor(0.9997),tensor(0.9999),tensor(0.9999)
8,20231018_215039,0.009284414345556028,700.5663838386536,tensor(1.),tensor(1.),tensor(1.),0.013298381489538958,100.79534769058228,tensor(0.9997),tensor(1.0000),tensor(1.0000)
9,20231018_215039,0.008775374522220897,700.838522195816,tensor(1.),tensor(1.),tensor(1.),0.01240021124896076,101.41803336143494,tensor(0.9997),tensor(1.),tensor(1.)
10,20231018_215039,0.0076010834558733874,698.7568225860596,tensor(1.),tensor(1.),tensor(1.),0.012857982016626805,100.66555190086365,tensor(0.9997),tensor(1.0000),tensor(1.0000)
11,20231018_215039,0.0070871000093986275,699.5581872463226,tensor(1.),tensor(1.),tensor(1.),0.011905389527479807,100.84763145446777,tensor(0.9993),tensor(0.9994),tensor(0.9994)
12,20231018_215039,0.007052989261165131,701.185120344162,tensor(1.),tensor(1.),tensor(1.),0.011880467971047711,100.86952042579651,tensor(0.9993),tensor(0.9994),tensor(0.9994)
13,20231018_215039,0.006937598569302361,699.7907538414001,tensor(1.),tensor(1.),tensor(1.),0.01245206625511249,101.14522814750671,tensor(0.9993),tensor(0.9994),tensor(0.9994)
14,20231018_215039,0.006695346466914558,700.3330087661743,tensor(1.),tensor(1.),tensor(1.),0.0113601948297213,100.7855634689331,tensor(0.9998),tensor(1.),tensor(1.)
15,20231018_215039,0.006174163819554075,700.270042181015,tensor(1.),tensor(1.),tensor(1.),0.01179034055935012,100.75006985664368,tensor(0.9993),tensor(0.9994),tensor(0.9994)
16,20231018_215039,0.005813352838321521,700.9734296798706,tensor(1.),tensor(1.),tensor(1.),0.011378591141057394,101.3291666507721,tensor(0.9999),tensor(1.0000),tensor(1.0000)
17,20231018_215039,0.0055740010156228315,701.0842196941376,tensor(1.),tensor(1.),tensor(1.),0.011495152503133767,101.10132789611816,tensor(0.9994),tensor(0.9994),tensor(0.9994)
18,20231018_215039,0.005615555875426913,700.5764081478119,tensor(1.),tensor(1.),tensor(1.),0.011481943303748729,100.83535933494568,tensor(0.9993),tensor(0.9994),tensor(0.9994)
19,20231018_215039,0.0056232946229767345,700.6431140899658,tensor(1.),tensor(1.),tensor(1.),0.011375819244200275,100.78913736343384,tensor(0.9994),tensor(0.9994),tensor(0.9994)
