2023-10-18 21:50:39,942 | train | INFO | Set Logger /home/kwy00/ysy/results/train/20231018_215039
2023-10-18 21:50:39,977 | train | INFO | Load data, train:5481 val:1000
2023-10-18 21:50:39,977 | train | INFO | Initiated early stopper, mode: min, best score: inf, patience: 10
2023-10-18 21:50:40,544 | train | INFO | --Train 0/20
2023-10-18 21:50:48,290 | train | INFO | batch: 0/343 loss: 1.8067753314971924
2023-10-18 21:54:11,386 | train | INFO | batch: 100/343 loss: 0.13497883081436157
2023-10-18 21:57:34,244 | train | INFO | batch: 200/343 loss: 0.04207437112927437
2023-10-18 22:00:57,119 | train | INFO | batch: 300/343 loss: 0.026409894227981567
2023-10-18 22:02:52,271 | train | INFO | --Val 0/20
2023-10-18 22:02:53,854 | train | INFO | batch: 0/63 loss: 0.025994423776865005
2023-10-18 22:04:34,334 | train | INFO | Write row 0
2023-10-18 22:04:34,708 | train | INFO | --Train 1/20
2023-10-18 22:04:36,464 | train | INFO | batch: 0/343 loss: 0.02080507017672062
2023-10-18 22:07:58,725 | train | INFO | batch: 100/343 loss: 0.018315892666578293
2023-10-18 22:11:21,001 | train | INFO | batch: 200/343 loss: 0.023137133568525314
2023-10-18 22:14:43,201 | train | INFO | batch: 300/343 loss: 0.020084986463189125
2023-10-18 22:16:19,712 | train | INFO | --Val 1/20
2023-10-18 22:16:21,319 | train | INFO | batch: 0/63 loss: 0.019019275903701782
2023-10-18 22:18:02,306 | train | INFO | Write row 1
2023-10-18 22:18:02,741 | train | INFO | --Train 2/20
2023-10-18 22:18:04,497 | train | INFO | batch: 0/343 loss: 0.05571313947439194
2023-10-18 22:21:26,799 | train | INFO | batch: 100/343 loss: 0.01612626388669014
2023-10-18 22:24:49,183 | train | INFO | batch: 200/343 loss: 0.015582311898469925
2023-10-18 22:28:11,303 | train | INFO | batch: 300/343 loss: 0.015527594834566116
2023-10-18 22:29:44,540 | train | INFO | --Val 2/20
