2023-11-05 03:14:09,462 | train | INFO | Set Logger /home/kwy00/ysy/results/train/20231105_031409
2023-11-05 03:14:09,630 | train | INFO | Load data, train:38367 val:1000
2023-11-05 03:14:09,630 | train | INFO | Initiated early stopper, mode: min, best score: inf, patience: 10
2023-11-05 03:14:10,148 | train | INFO | --Train 0/30
2023-11-05 03:14:16,560 | train | INFO | batch: 0/4796 loss: 2.4700939655303955
2023-11-05 03:17:06,794 | train | INFO | batch: 100/4796 loss: 0.563792884349823
2023-11-05 03:19:56,039 | train | INFO | batch: 200/4796 loss: 0.5031555891036987
2023-11-05 03:22:45,030 | train | INFO | batch: 300/4796 loss: 0.4864104688167572
2023-11-05 03:25:34,117 | train | INFO | batch: 400/4796 loss: 0.44071653485298157
2023-11-05 03:28:22,280 | train | INFO | batch: 500/4796 loss: 0.3752932846546173
2023-11-05 03:31:09,856 | train | INFO | batch: 600/4796 loss: 0.3566797971725464
2023-11-05 03:33:57,634 | train | INFO | batch: 700/4796 loss: 0.35148653388023376
2023-11-05 03:36:46,003 | train | INFO | batch: 800/4796 loss: 0.15590286254882812
2023-11-05 03:39:35,053 | train | INFO | batch: 900/4796 loss: 0.3818168044090271
2023-11-05 03:42:22,313 | train | INFO | batch: 1000/4796 loss: 0.0964239090681076
2023-11-05 03:45:08,035 | train | INFO | batch: 1100/4796 loss: 0.12018877267837524
2023-11-05 03:47:55,982 | train | INFO | batch: 1200/4796 loss: 0.1870136260986328
2023-11-05 03:50:44,289 | train | INFO | batch: 1300/4796 loss: 0.1546579897403717
2023-11-05 03:53:31,738 | train | INFO | batch: 1400/4796 loss: 0.13186527788639069
2023-11-05 03:56:17,491 | train | INFO | batch: 1500/4796 loss: 0.23236089944839478
2023-11-05 03:59:03,349 | train | INFO | batch: 1600/4796 loss: 0.17359906435012817
2023-11-05 04:01:49,987 | train | INFO | batch: 1700/4796 loss: 0.13981977105140686
2023-11-05 04:04:36,748 | train | INFO | batch: 1800/4796 loss: 0.16485555469989777
2023-11-05 04:07:22,779 | train | INFO | batch: 1900/4796 loss: 0.08009390532970428
2023-11-05 04:10:07,414 | train | INFO | batch: 2000/4796 loss: 0.16722169518470764
2023-11-05 04:12:54,416 | train | INFO | batch: 2100/4796 loss: 0.11512300372123718
2023-11-05 04:15:39,783 | train | INFO | batch: 2200/4796 loss: 0.07479972392320633
2023-11-05 04:18:26,815 | train | INFO | batch: 2300/4796 loss: 0.11210298538208008
2023-11-05 04:21:13,001 | train | INFO | batch: 2400/4796 loss: 0.03332006558775902
2023-11-05 04:23:58,320 | train | INFO | batch: 2500/4796 loss: 0.02460218407213688
2023-11-05 04:26:45,625 | train | INFO | batch: 2600/4796 loss: 0.09500537812709808
2023-11-05 04:29:30,541 | train | INFO | batch: 2700/4796 loss: 0.08217541873455048
2023-11-05 04:32:15,887 | train | INFO | batch: 2800/4796 loss: 0.10027410089969635
2023-11-05 04:35:00,949 | train | INFO | batch: 2900/4796 loss: 0.09043656289577484
2023-11-05 04:37:44,718 | train | INFO | batch: 3000/4796 loss: 0.1309688687324524
2023-11-05 04:40:30,323 | train | INFO | batch: 3100/4796 loss: 0.10348685085773468
2023-11-05 04:43:15,460 | train | INFO | batch: 3200/4796 loss: 0.06421265006065369
2023-11-05 04:46:00,484 | train | INFO | batch: 3300/4796 loss: 0.08391156792640686
2023-11-05 04:48:46,617 | train | INFO | batch: 3400/4796 loss: 0.10817056894302368
2023-11-05 04:51:32,739 | train | INFO | batch: 3500/4796 loss: 0.0862499251961708
2023-11-05 04:54:17,408 | train | INFO | batch: 3600/4796 loss: 0.12600232660770416
2023-11-05 04:57:03,185 | train | INFO | batch: 3700/4796 loss: 0.09152420610189438
2023-11-05 04:59:48,289 | train | INFO | batch: 3800/4796 loss: 0.105630062520504
2023-11-05 05:02:33,959 | train | INFO | batch: 3900/4796 loss: 0.06109853833913803
2023-11-05 05:05:19,800 | train | INFO | batch: 4000/4796 loss: 0.08282540738582611
2023-11-05 05:08:04,840 | train | INFO | batch: 4100/4796 loss: 0.07424748688936234
2023-11-05 05:10:49,814 | train | INFO | batch: 4200/4796 loss: 0.08800049871206284
2023-11-05 05:13:34,602 | train | INFO | batch: 4300/4796 loss: 0.09715045243501663
