2023-11-10 03:21:32,962 | train | INFO | Set Logger /home/kwy00/ysy/results/train/20231110_031722
2023-11-10 03:21:33,137 | train | INFO | Load data, train:38367 val:1000
2023-11-10 03:21:33,137 | train | INFO | Initiated early stopper, mode: min, best score: inf, patience: 10
2023-11-10 03:21:33,863 | train | INFO | --Train 0/5
2023-11-10 03:21:40,374 | train | INFO | batch: 0/4796 loss: 0.02090103179216385
2023-11-10 03:24:24,637 | train | INFO | batch: 100/4796 loss: 0.022942043840885162
2023-11-10 03:27:10,024 | train | INFO | batch: 200/4796 loss: 0.010595619678497314
2023-11-10 03:29:55,903 | train | INFO | batch: 300/4796 loss: 0.022827643901109695
2023-11-10 03:32:41,146 | train | INFO | batch: 400/4796 loss: 0.014337074011564255
2023-11-10 03:35:24,606 | train | INFO | batch: 500/4796 loss: 0.008484091609716415
2023-11-10 03:38:09,739 | train | INFO | batch: 600/4796 loss: 0.01246027834713459
2023-11-10 03:40:52,667 | train | INFO | batch: 700/4796 loss: 0.018284250050783157
2023-11-10 03:43:37,702 | train | INFO | batch: 800/4796 loss: 0.011611396446824074
2023-11-10 03:46:20,606 | train | INFO | batch: 900/4796 loss: 0.02234884910285473
2023-11-10 03:49:01,309 | train | INFO | batch: 1000/4796 loss: 0.019607849419116974
2023-11-10 03:51:43,562 | train | INFO | batch: 1100/4796 loss: 0.06596565991640091
2023-11-10 03:54:25,246 | train | INFO | batch: 1200/4796 loss: 0.008151475340127945
2023-11-10 03:57:04,568 | train | INFO | batch: 1300/4796 loss: 0.007771844509989023
2023-11-10 03:59:45,851 | train | INFO | batch: 1400/4796 loss: 0.015743546187877655
2023-11-10 04:02:28,096 | train | INFO | batch: 1500/4796 loss: 0.035994164645671844
2023-11-10 04:05:11,759 | train | INFO | batch: 1600/4796 loss: 0.012575123459100723
2023-11-10 04:07:52,749 | train | INFO | batch: 1700/4796 loss: 0.011005628854036331
2023-11-10 04:10:34,904 | train | INFO | batch: 1800/4796 loss: 0.01916803978383541
2023-11-10 04:13:16,731 | train | INFO | batch: 1900/4796 loss: 0.015734249725937843
2023-11-10 04:15:58,022 | train | INFO | batch: 2000/4796 loss: 0.021023375913500786
2023-11-10 04:18:40,267 | train | INFO | batch: 2100/4796 loss: 0.009025807492434978
2023-11-10 04:21:21,512 | train | INFO | batch: 2200/4796 loss: 0.024297945201396942
2023-11-10 04:24:02,450 | train | INFO | batch: 2300/4796 loss: 0.013626599684357643
2023-11-10 04:26:43,657 | train | INFO | batch: 2400/4796 loss: 0.008554931730031967
2023-11-10 04:29:24,824 | train | INFO | batch: 2500/4796 loss: 0.05416816845536232
2023-11-10 04:32:05,507 | train | INFO | batch: 2600/4796 loss: 0.026979515329003334
2023-11-10 04:34:45,851 | train | INFO | batch: 2700/4796 loss: 0.009111299179494381
2023-11-10 04:37:25,937 | train | INFO | batch: 2800/4796 loss: 0.020610079169273376
2023-11-10 04:40:06,224 | train | INFO | batch: 2900/4796 loss: 0.011384036391973495
2023-11-10 04:42:48,923 | train | INFO | batch: 3000/4796 loss: 0.014189338311553001
2023-11-10 04:45:33,160 | train | INFO | batch: 3100/4796 loss: 0.029903031885623932
2023-11-10 04:48:15,391 | train | INFO | batch: 3200/4796 loss: 0.010003101080656052
2023-11-10 04:50:58,422 | train | INFO | batch: 3300/4796 loss: 0.12607313692569733
2023-11-10 04:53:40,489 | train | INFO | batch: 3400/4796 loss: 0.010824503377079964
2023-11-10 04:56:22,255 | train | INFO | batch: 3500/4796 loss: 0.021759552881121635
2023-11-10 04:59:05,375 | train | INFO | batch: 3600/4796 loss: 0.0356903076171875
2023-11-10 05:01:46,396 | train | INFO | batch: 3700/4796 loss: 0.013158868998289108
2023-11-10 05:04:29,466 | train | INFO | batch: 3800/4796 loss: 0.009769311174750328
2023-11-10 05:07:10,860 | train | INFO | batch: 3900/4796 loss: 0.014025676064193249
2023-11-10 05:09:52,707 | train | INFO | batch: 4000/4796 loss: 0.008304009214043617
