2023-10-29 19:31:22,124 | train | INFO | Set Logger /home/kwy00/ysy/results/train/20231029_193122
2023-10-29 19:31:22,159 | train | INFO | Load data, train:5481 val:1000
2023-10-29 19:31:22,159 | train | INFO | Initiated early stopper, mode: min, best score: inf, patience: 10
2023-10-29 19:31:22,615 | train | INFO | --Train 0/30
2023-10-29 19:31:29,042 | train | INFO | batch: 0/686 loss: 2.170085906982422
2023-10-29 19:34:11,941 | train | INFO | batch: 100/686 loss: 0.3785448372364044
2023-10-29 19:36:52,033 | train | INFO | batch: 200/686 loss: 0.08430805802345276
2023-10-29 19:39:30,421 | train | INFO | batch: 300/686 loss: 0.05648206174373627
2023-10-29 19:42:08,831 | train | INFO | batch: 400/686 loss: 0.10150118917226791
2023-10-29 19:44:46,520 | train | INFO | batch: 500/686 loss: 0.019156944006681442
2023-10-29 19:47:23,827 | train | INFO | batch: 600/686 loss: 0.017914334312081337
2023-10-29 19:49:38,655 | train | INFO | --Val 0/30
2023-10-29 19:49:39,861 | train | INFO | batch: 0/125 loss: 0.0534387044608593
2023-10-29 19:51:42,472 | train | INFO | batch: 100/125 loss: 0.03398668393492699
2023-10-29 19:52:11,892 | train | INFO | Write row 0
2023-10-29 19:52:12,366 | train | INFO | --Train 1/30
2023-10-29 19:52:13,633 | train | INFO | batch: 0/686 loss: 0.13146352767944336
2023-10-29 19:54:50,752 | train | INFO | batch: 100/686 loss: 0.015963315963745117
2023-10-29 19:57:27,980 | train | INFO | batch: 200/686 loss: 0.019740669056773186
2023-10-29 20:00:04,716 | train | INFO | batch: 300/686 loss: 0.03726423159241676
2023-10-29 20:02:41,582 | train | INFO | batch: 400/686 loss: 0.016416702419519424
2023-10-29 20:05:18,466 | train | INFO | batch: 500/686 loss: 0.013465928845107555
2023-10-29 20:07:55,094 | train | INFO | batch: 600/686 loss: 0.020745519548654556
2023-10-29 20:10:07,463 | train | INFO | --Val 1/30
2023-10-29 20:10:08,658 | train | INFO | batch: 0/125 loss: 0.014892706647515297
2023-10-29 20:12:09,483 | train | INFO | batch: 100/125 loss: 0.013951840810477734
2023-10-29 20:12:38,450 | train | INFO | Write row 1
2023-10-29 20:12:38,936 | train | INFO | --Train 2/30
2023-10-29 20:12:40,217 | train | INFO | batch: 0/686 loss: 0.015039777383208275
2023-10-29 20:15:16,889 | train | INFO | batch: 100/686 loss: 0.013408474624156952
2023-10-29 20:17:53,577 | train | INFO | batch: 200/686 loss: 0.011899574659764767
2023-10-29 20:20:30,266 | train | INFO | batch: 300/686 loss: 0.013128655962646008
2023-10-29 20:23:06,971 | train | INFO | batch: 400/686 loss: 0.014252924360334873
2023-10-29 20:25:43,528 | train | INFO | batch: 500/686 loss: 0.012351405806839466
2023-10-29 20:28:20,149 | train | INFO | batch: 600/686 loss: 0.013093606568872929
2023-10-29 20:30:32,360 | train | INFO | --Val 2/30
2023-10-29 20:30:33,556 | train | INFO | batch: 0/125 loss: 0.013796312734484673
2023-10-29 20:32:34,780 | train | INFO | batch: 100/125 loss: 0.012078758329153061
2023-10-29 20:33:03,906 | train | INFO | Write row 2
2023-10-29 20:33:04,399 | train | INFO | --Train 3/30
2023-10-29 20:33:05,676 | train | INFO | batch: 0/686 loss: 0.010005581192672253
2023-10-29 20:35:41,714 | train | INFO | batch: 100/686 loss: 0.013308755122125149
2023-10-29 20:38:17,838 | train | INFO | batch: 200/686 loss: 0.01086863037198782
2023-10-29 20:40:53,892 | train | INFO | batch: 300/686 loss: 0.03837612643837929
2023-10-29 20:43:30,495 | train | INFO | batch: 400/686 loss: 0.013164563104510307
2023-10-29 20:46:06,756 | train | INFO | batch: 500/686 loss: 0.012569110840559006
2023-10-29 20:48:42,998 | train | INFO | batch: 600/686 loss: 0.012701417319476604
2023-10-29 20:50:54,905 | train | INFO | --Val 3/30
2023-10-29 20:50:56,112 | train | INFO | batch: 0/125 loss: 0.011743668466806412
2023-10-29 20:52:57,522 | train | INFO | batch: 100/125 loss: 0.01136066671460867
2023-10-29 20:53:26,660 | train | INFO | Write row 3
2023-10-29 20:53:27,162 | train | INFO | --Train 4/30
2023-10-29 20:53:28,433 | train | INFO | batch: 0/686 loss: 0.010453339666128159
2023-10-29 20:56:04,781 | train | INFO | batch: 100/686 loss: 0.00999548938125372
2023-10-29 20:58:41,282 | train | INFO | batch: 200/686 loss: 0.013283653184771538
2023-10-29 21:01:17,912 | train | INFO | batch: 300/686 loss: 0.00934851448982954
2023-10-29 21:03:54,017 | train | INFO | batch: 400/686 loss: 0.01084103062748909
2023-10-29 21:06:30,056 | train | INFO | batch: 500/686 loss: 0.01166965439915657
