2023-10-31 22:20:54,926 | train | INFO | Set Logger /home/kwy00/ysy/results/train/20231031_222054
2023-10-31 22:20:54,983 | train | INFO | Load data, train:10962 val:1000
2023-10-31 22:20:54,983 | train | INFO | Initiated early stopper, mode: min, best score: inf, patience: 10
2023-10-31 22:20:55,466 | train | INFO | --Train 0/30
2023-10-31 22:20:56,641 | train | INFO | batch: 0/1371 loss: 2.111889123916626
2023-10-31 22:23:27,872 | train | INFO | batch: 100/1371 loss: 0.5003176331520081
2023-10-31 22:25:57,506 | train | INFO | batch: 200/1371 loss: 0.3192036747932434
2023-10-31 22:28:25,802 | train | INFO | batch: 300/1371 loss: 0.2158076912164688
2023-10-31 22:30:52,738 | train | INFO | batch: 400/1371 loss: 0.07270330935716629
2023-10-31 22:33:19,062 | train | INFO | batch: 500/1371 loss: 0.037105537950992584
2023-10-31 22:35:44,953 | train | INFO | batch: 600/1371 loss: 0.06144246459007263
2023-10-31 22:38:10,533 | train | INFO | batch: 700/1371 loss: 0.04753575474023819
2023-10-31 22:40:35,489 | train | INFO | batch: 800/1371 loss: 0.041139937937259674
2023-10-31 22:43:00,662 | train | INFO | batch: 900/1371 loss: 0.022113077342510223
2023-10-31 22:45:26,531 | train | INFO | batch: 1000/1371 loss: 0.030501235276460648
2023-10-31 22:47:52,322 | train | INFO | batch: 1100/1371 loss: 0.022486640140414238
2023-10-31 22:50:17,498 | train | INFO | batch: 1200/1371 loss: 0.026394302025437355
2023-10-31 22:52:42,685 | train | INFO | batch: 1300/1371 loss: 0.014657953754067421
2023-10-31 22:54:26,488 | train | INFO | --Val 0/30
2023-10-31 22:54:27,632 | train | INFO | batch: 0/125 loss: 0.023045524954795837
2023-10-31 22:56:23,174 | train | INFO | batch: 100/125 loss: 0.020919904112815857
2023-10-31 22:56:50,902 | train | INFO | Write row 0
2023-10-31 22:56:51,322 | train | INFO | --Train 1/30
2023-10-31 22:56:52,500 | train | INFO | batch: 0/1371 loss: 0.01642381027340889
2023-10-31 22:59:17,080 | train | INFO | batch: 100/1371 loss: 0.04488009214401245
2023-10-31 23:01:42,396 | train | INFO | batch: 200/1371 loss: 0.029102368280291557
2023-10-31 23:04:06,706 | train | INFO | batch: 300/1371 loss: 0.016250647604465485
2023-10-31 23:06:31,024 | train | INFO | batch: 400/1371 loss: 0.01868565008044243
2023-10-31 23:08:55,525 | train | INFO | batch: 500/1371 loss: 0.014016871340572834
2023-10-31 23:11:19,943 | train | INFO | batch: 600/1371 loss: 0.015149877406656742
2023-10-31 23:13:44,156 | train | INFO | batch: 700/1371 loss: 0.013177020475268364
2023-10-31 23:16:08,379 | train | INFO | batch: 800/1371 loss: 0.017480529844760895
2023-10-31 23:18:34,366 | train | INFO | batch: 900/1371 loss: 0.018308719620108604
2023-10-31 23:20:59,181 | train | INFO | batch: 1000/1371 loss: 0.018225090578198433
2023-10-31 23:23:24,273 | train | INFO | batch: 1100/1371 loss: 0.016527613624930382
2023-10-31 23:25:49,311 | train | INFO | batch: 1200/1371 loss: 0.01689799129962921
2023-10-31 23:28:15,048 | train | INFO | batch: 1300/1371 loss: 0.022900160402059555
2023-10-31 23:29:56,207 | train | INFO | --Val 1/30
2023-10-31 23:29:57,347 | train | INFO | batch: 0/125 loss: 0.01635081134736538
2023-10-31 23:31:53,031 | train | INFO | batch: 100/125 loss: 0.02021990716457367
2023-10-31 23:32:20,914 | train | INFO | Write row 1
2023-10-31 23:32:21,394 | train | INFO | --Train 2/30
2023-10-31 23:32:22,588 | train | INFO | batch: 0/1371 loss: 0.016313014551997185
2023-10-31 23:34:49,209 | train | INFO | batch: 100/1371 loss: 0.012555563822388649
