2023-10-28 23:48:54,268 | train | INFO | Set Logger /home/kwy00/ysy/results/train/20231028_234854
2023-10-28 23:48:54,325 | train | INFO | Load data, train:10962 val:1000
2023-10-28 23:48:54,325 | train | INFO | Initiated early stopper, mode: min, best score: inf, patience: 10
2023-10-28 23:48:54,831 | train | INFO | --Train 0/30
2023-10-28 23:49:01,340 | train | INFO | batch: 0/1371 loss: 2.0418972969055176
2023-10-28 23:51:40,336 | train | INFO | batch: 100/1371 loss: 0.5199106335639954
2023-10-28 23:54:17,403 | train | INFO | batch: 200/1371 loss: 0.301447331905365
2023-10-28 23:56:52,911 | train | INFO | batch: 300/1371 loss: 0.11195409297943115
2023-10-28 23:59:27,334 | train | INFO | batch: 400/1371 loss: 0.11632323265075684
2023-10-29 00:02:01,767 | train | INFO | batch: 500/1371 loss: 0.024051394313573837
2023-10-29 00:04:35,606 | train | INFO | batch: 600/1371 loss: 0.0285443477332592
2023-10-29 00:07:09,493 | train | INFO | batch: 700/1371 loss: 0.027562778443098068
2023-10-29 00:09:43,762 | train | INFO | batch: 800/1371 loss: 0.028467576950788498
2023-10-29 00:12:18,111 | train | INFO | batch: 900/1371 loss: 0.051952049136161804
2023-10-29 00:14:52,394 | train | INFO | batch: 1000/1371 loss: 0.020212676376104355
2023-10-29 00:17:25,646 | train | INFO | batch: 1100/1371 loss: 0.023600008338689804
2023-10-29 00:19:59,373 | train | INFO | batch: 1200/1371 loss: 0.017921797931194305
2023-10-29 00:22:32,698 | train | INFO | batch: 1300/1371 loss: 0.021703243255615234
2023-10-29 00:24:22,642 | train | INFO | --Val 0/30
2023-10-29 00:24:23,867 | train | INFO | batch: 0/125 loss: 0.043207645416259766
2023-10-29 00:26:25,643 | train | INFO | batch: 100/125 loss: 0.016153907403349876
2023-10-29 00:26:55,029 | train | INFO | Write row 0
2023-10-29 00:26:55,464 | train | INFO | --Train 1/30
2023-10-29 00:26:56,747 | train | INFO | batch: 0/1371 loss: 0.016783161088824272
2023-10-29 00:29:29,287 | train | INFO | batch: 100/1371 loss: 0.04178725183010101
2023-10-29 00:32:02,447 | train | INFO | batch: 200/1371 loss: 0.017340267077088356
2023-10-29 00:34:36,005 | train | INFO | batch: 300/1371 loss: 0.020852401852607727
2023-10-29 00:37:09,570 | train | INFO | batch: 400/1371 loss: 0.019546493887901306
2023-10-29 00:39:42,953 | train | INFO | batch: 500/1371 loss: 0.07976078242063522
2023-10-29 00:42:16,962 | train | INFO | batch: 600/1371 loss: 0.016007838770747185
2023-10-29 00:44:50,180 | train | INFO | batch: 700/1371 loss: 0.0147394435480237
2023-10-29 00:47:23,149 | train | INFO | batch: 800/1371 loss: 0.015849901363253593
2023-10-29 00:49:56,206 | train | INFO | batch: 900/1371 loss: 0.01677342690527439
2023-10-29 00:52:30,021 | train | INFO | batch: 1000/1371 loss: 0.023482725024223328
2023-10-29 00:55:03,571 | train | INFO | batch: 1100/1371 loss: 0.02824542485177517
2023-10-29 00:57:38,131 | train | INFO | batch: 1200/1371 loss: 0.019987067207694054
2023-10-29 01:00:11,810 | train | INFO | batch: 1300/1371 loss: 0.01729106530547142
2023-10-29 01:01:57,870 | train | INFO | --Val 1/30
2023-10-29 01:01:59,075 | train | INFO | batch: 0/125 loss: 0.017759928479790688
2023-10-29 01:03:59,901 | train | INFO | batch: 100/125 loss: 0.016879618167877197
2023-10-29 01:04:28,870 | train | INFO | Write row 1
2023-10-29 01:04:29,359 | train | INFO | --Train 2/30
2023-10-29 01:04:30,626 | train | INFO | batch: 0/1371 loss: 0.016379324719309807
2023-10-29 01:07:03,880 | train | INFO | batch: 100/1371 loss: 0.01502448320388794
2023-10-29 01:09:37,161 | train | INFO | batch: 200/1371 loss: 0.015510380268096924
2023-10-29 01:12:10,654 | train | INFO | batch: 300/1371 loss: 0.017063798382878304
2023-10-29 01:14:43,651 | train | INFO | batch: 400/1371 loss: 0.011863567866384983
2023-10-29 01:17:17,011 | train | INFO | batch: 500/1371 loss: 0.015883173793554306
2023-10-29 01:19:50,420 | train | INFO | batch: 600/1371 loss: 0.012584133073687553
2023-10-29 01:22:23,225 | train | INFO | batch: 700/1371 loss: 0.019556554034352303
2023-10-29 01:24:56,384 | train | INFO | batch: 800/1371 loss: 0.014354041777551174
2023-10-29 01:27:29,333 | train | INFO | batch: 900/1371 loss: 0.01597849279642105
2023-10-29 01:30:02,456 | train | INFO | batch: 1000/1371 loss: 0.07104064524173737
2023-10-29 01:32:36,420 | train | INFO | batch: 1100/1371 loss: 0.014758115634322166
2023-10-29 01:35:09,366 | train | INFO | batch: 1200/1371 loss: 0.01619390770792961
2023-10-29 01:37:42,791 | train | INFO | batch: 1300/1371 loss: 0.017186788842082024
2023-10-29 01:39:28,877 | train | INFO | --Val 2/30
2023-10-29 01:39:30,090 | train | INFO | batch: 0/125 loss: 0.014819235540926456
2023-10-29 01:41:31,421 | train | INFO | batch: 100/125 loss: 0.011884115636348724
2023-10-29 01:42:00,540 | train | INFO | Write row 2
2023-10-29 01:42:01,039 | train | INFO | --Train 3/30
2023-10-29 01:42:02,294 | train | INFO | batch: 0/1371 loss: 0.013757946901023388
2023-10-29 01:44:35,155 | train | INFO | batch: 100/1371 loss: 0.013712631538510323
2023-10-29 01:47:07,381 | train | INFO | batch: 200/1371 loss: 0.013818839564919472
2023-10-29 01:49:40,244 | train | INFO | batch: 300/1371 loss: 0.012447085231542587
2023-10-29 01:52:13,784 | train | INFO | batch: 400/1371 loss: 0.023548029363155365
2023-10-29 01:54:47,191 | train | INFO | batch: 500/1371 loss: 0.01490035466849804
2023-10-29 01:57:19,805 | train | INFO | batch: 600/1371 loss: 0.01789283938705921
2023-10-29 01:59:52,580 | train | INFO | batch: 700/1371 loss: 0.014909714460372925
2023-10-29 02:02:25,539 | train | INFO | batch: 800/1371 loss: 0.013127168640494347
2023-10-29 02:04:58,445 | train | INFO | batch: 900/1371 loss: 0.014450944028794765
2023-10-29 02:07:32,092 | train | INFO | batch: 1000/1371 loss: 0.06870482116937637
2023-10-29 02:10:05,792 | train | INFO | batch: 1100/1371 loss: 0.015059537254273891
2023-10-29 02:12:38,899 | train | INFO | batch: 1200/1371 loss: 0.14240996539592743
2023-10-29 02:15:12,177 | train | INFO | batch: 1300/1371 loss: 0.017399094998836517
2023-10-29 02:16:58,704 | train | INFO | --Val 3/30
2023-10-29 02:16:59,915 | train | INFO | batch: 0/125 loss: 0.012420382350683212
2023-10-29 02:19:01,720 | train | INFO | batch: 100/125 loss: 0.014114228077232838
2023-10-29 02:19:30,916 | train | INFO | Write row 3
2023-10-29 02:19:31,605 | train | INFO | --Train 4/30
2023-10-29 02:19:32,840 | train | INFO | batch: 0/1371 loss: 0.013626825995743275
2023-10-29 02:22:06,000 | train | INFO | batch: 100/1371 loss: 0.011357290670275688
2023-10-29 02:24:38,931 | train | INFO | batch: 200/1371 loss: 0.03277774527668953
2023-10-29 02:27:12,146 | train | INFO | batch: 300/1371 loss: 0.013900218531489372
2023-10-29 02:29:44,907 | train | INFO | batch: 400/1371 loss: 0.019102707505226135
2023-10-29 02:32:18,441 | train | INFO | batch: 500/1371 loss: 0.06247228756546974
2023-10-29 02:34:51,270 | train | INFO | batch: 600/1371 loss: 0.01749780774116516
2023-10-29 02:37:24,002 | train | INFO | batch: 700/1371 loss: 0.014759039506316185
2023-10-29 02:39:56,637 | train | INFO | batch: 800/1371 loss: 0.011806025169789791
2023-10-29 02:42:29,513 | train | INFO | batch: 900/1371 loss: 0.01258685439825058
2023-10-29 02:45:02,324 | train | INFO | batch: 1000/1371 loss: 0.014226522296667099
2023-10-29 02:47:34,979 | train | INFO | batch: 1100/1371 loss: 0.03255036845803261
2023-10-29 02:50:07,324 | train | INFO | batch: 1200/1371 loss: 0.026726048439741135
2023-10-29 02:52:40,663 | train | INFO | batch: 1300/1371 loss: 0.03890940919518471
2023-10-29 02:54:27,429 | train | INFO | --Val 4/30
2023-10-29 02:54:28,627 | train | INFO | batch: 0/125 loss: 0.011109184473752975
2023-10-29 02:56:30,841 | train | INFO | batch: 100/125 loss: 0.012614399194717407
2023-10-29 02:57:00,171 | train | INFO | Write row 4
2023-10-29 02:57:00,685 | train | INFO | --Train 5/30
2023-10-29 02:57:01,913 | train | INFO | batch: 0/1371 loss: 0.02867520973086357
2023-10-29 02:59:34,871 | train | INFO | batch: 100/1371 loss: 0.01231093518435955
2023-10-29 03:02:08,068 | train | INFO | batch: 200/1371 loss: 0.058854591101408005
2023-10-29 03:04:40,895 | train | INFO | batch: 300/1371 loss: 0.016262762248516083
2023-10-29 03:07:13,722 | train | INFO | batch: 400/1371 loss: 0.011755619198083878
