epoch_index,train_serial,train_loss,train_elapsed_time,train_map,train_map_50,train_map_75,val_loss,val_elapsed_time,val_map,val_map_50,val_map_75
0,20231028_034209,0.11337950047958753,2195.410760641098,0.9252221,0.92631066,0.9261871,0.060174370646476745,145.20260667800903,0.9985837,0.9986923,0.9986923
1,20231028_034209,0.01937357389879631,2170.402494907379,0.99986607,1.0,1.0,0.01524465987086296,144.39048600196838,0.9998101,1.0,1.0
2,20231028_034209,0.01998926382471096,2174.7868146896362,0.9997076,0.9997824,0.9997824,0.013787038460373878,144.07169437408447,0.99994224,1.0,1.0
3,20231028_034209,0.021085206008252005,2173.2147970199585,0.9996572,0.9997036,0.9997036,0.015209679059684277,144.95919799804688,0.99993014,1.0,1.0
4,20231028_034209,0.016350277835390458,2166.23202586174,0.99970144,0.99975085,0.99975085,0.04974148739874363,144.98698902130127,0.9941974,0.9942863,0.9942863
5,20231028_034209,0.012745337812793812,2166.451815366745,0.9999847,1.0,1.0,0.011436815269291401,143.98465991020203,0.9999059,1.0,1.0
6,20231028_034209,0.011518582970007199,2165.8877573013306,0.9999982,1.0,1.0,0.011413256034255028,143.7318811416626,0.9999505,1.0,1.0
7,20231028_034209,0.013790618820845493,2167.0520515441895,0.99974734,0.9997498,0.9997498,0.011394926622509956,144.32579827308655,0.9999059,1.0,1.0
8,20231028_034209,0.012666655821558619,2165.25,0.9998953,0.99990046,0.99990046,0.011446469016373157,143.88553953170776,0.9998933,1.0,1.0
9,20231028_034209,0.010871289677667975,2166.6848332881927,0.99995893,0.9999635,0.9999635,0.01294173264503479,144.24922513961792,0.9998667,1.0,1.0
10,20231028_034209,0.008790814655375775,2193.112319469452,1.0,1.0,1.0,0.010618979148566722,147.56237363815308,0.99990004,1.0,1.0
11,20231028_034209,0.009079716301826796,2228.3858239650726,0.9999856,0.9999856,0.9999856,0.010199818797409534,151.63128685951233,0.99990004,1.0,1.0
12,20231028_034209,0.009310748568721751,2219.904655456543,1.0,1.0,1.0,0.010157377660274506,152.1622531414032,0.99990004,1.0,1.0
13,20231028_034209,0.007978701541495097,2218.3190977573395,0.9999957,1.0,1.0,0.00994576721265912,152.01175260543823,0.9998933,1.0,1.0
14,20231028_034209,0.008709174455880554,2220.762570619583,1.0,1.0,1.0,0.010534201577305793,151.37622666358948,1.0,1.0,1.0
15,20231028_034209,0.00696525307688767,2221.704905986786,1.0,1.0,1.0,0.010116272196173668,147.7501142024994,0.9999619,1.0,1.0
16,20231028_034209,0.00683262147230825,2219.8014843463898,1.0,1.0,1.0,0.009833481460809708,152.05208373069763,0.99998206,1.0,1.0
17,20231028_034209,0.006377177247757202,2217.4949295520782,1.0,1.0,1.0,0.009735272340476513,152.02271842956543,0.9999529,1.0,1.0
18,20231028_034209,0.006177166518962444,2216.191780090332,1.0,1.0,1.0,0.009587168496102095,151.28199982643127,0.99995,1.0,1.0
19,20231028_034209,0.00604022375255671,2216.7514073848724,1.0,1.0,1.0,0.009251191962510348,147.98352122306824,1.0,1.0,1.0
20,20231028_034209,0.005356710361361634,2218.2701847553253,1.0,1.0,1.0,0.008934530891478061,152.17072939872742,0.9999529,1.0,1.0
21,20231028_034209,0.005516041767356182,2214.08251953125,0.9999774,0.9999774,0.9999774,0.009457135684788226,152.01032638549805,0.99994665,1.0,1.0
22,20231028_034209,0.00489296017226204,2215.5927052497864,1.0,1.0,1.0,0.009028580814599991,151.31720805168152,1.0,1.0,1.0
23,20231028_034209,0.00464839254656058,2215.6501853466034,1.0,1.0,1.0,0.009415937796235084,147.6849868297577,0.9999556,1.0,1.0
24,20231028_034209,0.0046477642665698005,2219.950439929962,1.0,1.0,1.0,0.00892805440351367,151.97951936721802,0.9999556,1.0,1.0
25,20231028_034209,0.0043394097103584455,2221.5782561302185,1.0,1.0,1.0,0.008974633891135455,151.4420907497406,0.99994665,1.0,1.0
26,20231028_034209,0.004163141614220151,2216.0868294239044,1.0,1.0,1.0,0.009120515391230584,151.07723760604858,0.9999717,1.0,1.0
27,20231028_034209,0.004106543738602842,2215.074006319046,1.0,1.0,1.0,0.008910727091133594,147.82283735275269,0.99994665,1.0,1.0
28,20231028_034209,0.004034137811490018,2214.872077703476,1.0,1.0,1.0,0.009015457559376956,152.1199324131012,1.0,1.0,1.0
29,20231028_034209,0.003958397751428149,2217.4005794525146,1.0,1.0,1.0,0.009051709827035665,151.7515687942505,0.9999529,1.0,1.0
