2023-10-28 03:42:09,588 | train | INFO | Set Logger /home/kwy00/ysy/results/train/20231028_034209
2023-10-28 03:42:09,644 | train | INFO | Load data, train:10962 val:1000
2023-10-28 03:42:09,644 | train | INFO | Initiated early stopper, mode: min, best score: inf, patience: 10
2023-10-28 03:42:10,135 | train | INFO | --Train 0/30
2023-10-28 03:42:11,556 | train | INFO | batch: 0/1371 loss: 1.778242588043213
2023-10-28 03:44:57,747 | train | INFO | batch: 100/1371 loss: 0.4230278730392456
2023-10-28 03:47:40,286 | train | INFO | batch: 200/1371 loss: 0.24301686882972717
2023-10-28 03:50:21,354 | train | INFO | batch: 300/1371 loss: 0.12241809815168381
2023-10-28 03:53:02,192 | train | INFO | batch: 400/1371 loss: 0.0657564252614975
2023-10-28 03:55:41,031 | train | INFO | batch: 500/1371 loss: 0.08302430063486099
2023-10-28 03:58:19,661 | train | INFO | batch: 600/1371 loss: 0.02511974237859249
2023-10-28 04:00:59,221 | train | INFO | batch: 700/1371 loss: 0.038173314183950424
2023-10-28 04:03:38,169 | train | INFO | batch: 800/1371 loss: 0.03795764222741127
2023-10-28 04:06:17,912 | train | INFO | batch: 900/1371 loss: 0.0252130888402462
2023-10-28 04:08:57,218 | train | INFO | batch: 1000/1371 loss: 0.01902068592607975
2023-10-28 04:11:36,062 | train | INFO | batch: 1100/1371 loss: 0.04544055834412575
2023-10-28 04:14:14,979 | train | INFO | batch: 1200/1371 loss: 0.030061569064855576
2023-10-28 04:16:55,329 | train | INFO | batch: 1300/1371 loss: 0.020033052191138268
2023-10-28 04:18:45,546 | train | INFO | --Val 0/30
2023-10-28 04:18:46,674 | train | INFO | batch: 0/125 loss: 0.07248330861330032
2023-10-28 04:20:42,841 | train | INFO | batch: 100/125 loss: 0.026294421404600143
2023-10-28 04:21:10,751 | train | INFO | Write row 0
2023-10-28 04:21:11,170 | train | INFO | --Train 1/30
2023-10-28 04:21:12,426 | train | INFO | batch: 0/1371 loss: 0.017479654401540756
2023-10-28 04:23:51,492 | train | INFO | batch: 100/1371 loss: 0.016017792746424675
2023-10-28 04:26:29,827 | train | INFO | batch: 200/1371 loss: 0.019304737448692322
2023-10-28 04:29:08,880 | train | INFO | batch: 300/1371 loss: 0.017732633277773857
2023-10-28 04:31:47,499 | train | INFO | batch: 400/1371 loss: 0.016035297885537148
2023-10-28 04:34:26,975 | train | INFO | batch: 500/1371 loss: 0.09125281870365143
2023-10-28 04:37:06,006 | train | INFO | batch: 600/1371 loss: 0.016496259719133377
2023-10-28 04:39:43,998 | train | INFO | batch: 700/1371 loss: 0.014700126834213734
2023-10-28 04:42:22,032 | train | INFO | batch: 800/1371 loss: 0.016763797029852867
2023-10-28 04:44:59,473 | train | INFO | batch: 900/1371 loss: 0.015345323830842972
2023-10-28 04:47:37,495 | train | INFO | batch: 1000/1371 loss: 0.012741612270474434
2023-10-28 04:50:15,198 | train | INFO | batch: 1100/1371 loss: 0.014027261175215244
2023-10-28 04:52:52,390 | train | INFO | batch: 1200/1371 loss: 0.011544553562998772
2023-10-28 04:55:31,270 | train | INFO | batch: 1300/1371 loss: 0.03157137706875801
2023-10-28 04:57:21,573 | train | INFO | --Val 1/30
2023-10-28 04:57:22,702 | train | INFO | batch: 0/125 loss: 0.013979802839457989
2023-10-28 04:59:18,196 | train | INFO | batch: 100/125 loss: 0.015350057743489742
2023-10-28 04:59:45,966 | train | INFO | Write row 1
2023-10-28 04:59:46,446 | train | INFO | --Train 2/30
2023-10-28 04:59:47,651 | train | INFO | batch: 0/1371 loss: 0.015460158698260784
2023-10-28 05:02:27,278 | train | INFO | batch: 100/1371 loss: 0.02324938215315342
2023-10-28 05:05:05,705 | train | INFO | batch: 200/1371 loss: 0.015476655215024948
2023-10-28 05:07:44,108 | train | INFO | batch: 300/1371 loss: 0.016785362735390663
2023-10-28 05:10:22,720 | train | INFO | batch: 400/1371 loss: 0.015524509362876415
2023-10-28 05:13:02,122 | train | INFO | batch: 500/1371 loss: 0.014013555832207203
2023-10-28 05:15:41,072 | train | INFO | batch: 600/1371 loss: 0.012454839423298836
2023-10-28 05:18:20,502 | train | INFO | batch: 700/1371 loss: 0.017087070271372795
2023-10-28 05:20:58,609 | train | INFO | batch: 800/1371 loss: 0.016334692016243935
2023-10-28 05:23:37,832 | train | INFO | batch: 900/1371 loss: 0.026819702237844467
2023-10-28 05:26:16,746 | train | INFO | batch: 1000/1371 loss: 0.016460634768009186
2023-10-28 05:28:54,960 | train | INFO | batch: 1100/1371 loss: 0.01711999624967575
2023-10-28 05:31:32,673 | train | INFO | batch: 1200/1371 loss: 0.01450292393565178
2023-10-28 05:34:10,847 | train | INFO | batch: 1300/1371 loss: 0.012534582987427711
2023-10-28 05:36:01,233 | train | INFO | --Val 2/30
2023-10-28 05:36:02,372 | train | INFO | batch: 0/125 loss: 0.012867226265370846
2023-10-28 05:37:57,669 | train | INFO | batch: 100/125 loss: 0.015236496925354004
2023-10-28 05:38:25,307 | train | INFO | Write row 2
2023-10-28 05:38:25,794 | train | INFO | --Train 3/30
2023-10-28 05:38:27,097 | train | INFO | batch: 0/1371 loss: 0.01269010454416275
2023-10-28 05:41:04,785 | train | INFO | batch: 100/1371 loss: 0.011812040582299232
2023-10-28 05:43:43,685 | train | INFO | batch: 200/1371 loss: 0.014176818542182446
2023-10-28 05:46:22,342 | train | INFO | batch: 300/1371 loss: 0.01192138809710741
2023-10-28 05:49:00,213 | train | INFO | batch: 400/1371 loss: 0.014116178266704082
2023-10-28 05:51:37,764 | train | INFO | batch: 500/1371 loss: 0.011389334686100483
2023-10-28 05:54:16,330 | train | INFO | batch: 600/1371 loss: 0.02874447964131832
2023-10-28 05:56:56,073 | train | INFO | batch: 700/1371 loss: 0.0152367502450943
2023-10-28 05:59:33,698 | train | INFO | batch: 800/1371 loss: 0.01577530987560749
2023-10-28 06:02:12,020 | train | INFO | batch: 900/1371 loss: 0.03563638776540756
2023-10-28 06:04:51,033 | train | INFO | batch: 1000/1371 loss: 0.018951307982206345
2023-10-28 06:07:31,245 | train | INFO | batch: 1100/1371 loss: 0.02377391792833805
2023-10-28 06:10:09,134 | train | INFO | batch: 1200/1371 loss: 0.012387985363602638
2023-10-28 06:12:48,062 | train | INFO | batch: 1300/1371 loss: 0.016739938408136368
2023-10-28 06:14:39,009 | train | INFO | --Val 3/30
2023-10-28 06:14:40,152 | train | INFO | batch: 0/125 loss: 0.013652455061674118
2023-10-28 06:16:36,193 | train | INFO | batch: 100/125 loss: 0.014655658975243568
2023-10-28 06:17:03,970 | train | INFO | Write row 3
2023-10-28 06:17:04,465 | train | INFO | --Train 4/30
2023-10-28 06:17:05,742 | train | INFO | batch: 0/1371 loss: 0.01755879446864128
2023-10-28 06:19:43,722 | train | INFO | batch: 100/1371 loss: 0.0296718068420887
2023-10-28 06:22:22,506 | train | INFO | batch: 200/1371 loss: 0.017763011157512665
2023-10-28 06:25:00,270 | train | INFO | batch: 300/1371 loss: 0.010695205070078373
2023-10-28 06:27:38,332 | train | INFO | batch: 400/1371 loss: 0.013435275293886662
2023-10-28 06:30:16,505 | train | INFO | batch: 500/1371 loss: 0.012241284362971783
2023-10-28 06:32:54,602 | train | INFO | batch: 600/1371 loss: 0.011131636798381805
2023-10-28 06:35:32,746 | train | INFO | batch: 700/1371 loss: 0.012789608910679817
2023-10-28 06:38:10,631 | train | INFO | batch: 800/1371 loss: 0.01572606898844242
2023-10-28 06:40:49,212 | train | INFO | batch: 900/1371 loss: 0.01166960597038269
2023-10-28 06:43:27,466 | train | INFO | batch: 1000/1371 loss: 0.010827881284058094
2023-10-28 06:46:05,594 | train | INFO | batch: 1100/1371 loss: 0.015166101045906544
2023-10-28 06:48:43,559 | train | INFO | batch: 1200/1371 loss: 0.012008490972220898
