2023-10-30 06:21:31,170 | train | INFO | Set Logger /home/kwy00/ysy/results/train/20231030_062131
2023-10-30 06:21:31,206 | train | INFO | Load data, train:5481 val:1000
2023-10-30 06:21:31,206 | train | INFO | Initiated early stopper, mode: min, best score: inf, patience: 10
2023-10-30 06:21:31,688 | train | INFO | --Train 0/30
2023-10-30 06:21:32,948 | train | INFO | batch: 0/686 loss: 1.9779454469680786
2023-10-30 06:24:10,467 | train | INFO | batch: 100/686 loss: 0.2668110132217407
2023-10-30 06:26:43,707 | train | INFO | batch: 200/686 loss: 0.05999571084976196
2023-10-30 06:29:15,258 | train | INFO | batch: 300/686 loss: 0.0348205640912056
2023-10-30 06:31:46,260 | train | INFO | batch: 400/686 loss: 0.028772501274943352
2023-10-30 06:34:17,615 | train | INFO | batch: 500/686 loss: 0.02226274460554123
2023-10-30 06:36:47,766 | train | INFO | batch: 600/686 loss: 0.017629023641347885
2023-10-30 06:38:54,954 | train | INFO | --Val 0/30
2023-10-30 06:38:56,072 | train | INFO | batch: 0/125 loss: 0.07739555090665817
2023-10-30 06:40:52,362 | train | INFO | batch: 100/125 loss: 0.018561895936727524
2023-10-30 06:41:20,193 | train | INFO | Write row 0
2023-10-30 06:41:20,605 | train | INFO | --Train 1/30
2023-10-30 06:41:21,806 | train | INFO | batch: 0/686 loss: 0.024382902309298515
2023-10-30 06:43:51,947 | train | INFO | batch: 100/686 loss: 0.014292706735432148
2023-10-30 06:46:21,874 | train | INFO | batch: 200/686 loss: 0.016278287395834923
2023-10-30 06:48:51,880 | train | INFO | batch: 300/686 loss: 0.015274315141141415
2023-10-30 06:51:21,895 | train | INFO | batch: 400/686 loss: 0.014958126470446587
2023-10-30 06:53:51,694 | train | INFO | batch: 500/686 loss: 0.014472728595137596
2023-10-30 06:56:21,680 | train | INFO | batch: 600/686 loss: 0.012083028443157673
2023-10-30 06:58:28,283 | train | INFO | --Val 1/30
2023-10-30 06:58:29,427 | train | INFO | batch: 0/125 loss: 0.02993047796189785
2023-10-30 07:00:26,076 | train | INFO | batch: 100/125 loss: 0.029457826167345047
2023-10-30 07:00:54,069 | train | INFO | Write row 1
2023-10-30 07:00:54,535 | train | INFO | --Train 2/30
2023-10-30 07:00:55,726 | train | INFO | batch: 0/686 loss: 0.03668716549873352
2023-10-30 07:03:26,312 | train | INFO | batch: 100/686 loss: 0.015194105915725231
2023-10-30 07:05:56,251 | train | INFO | batch: 200/686 loss: 0.01280870009213686
2023-10-30 07:08:27,279 | train | INFO | batch: 300/686 loss: 0.020776450634002686
2023-10-30 07:10:58,560 | train | INFO | batch: 400/686 loss: 0.018761329352855682
2023-10-30 07:13:28,926 | train | INFO | batch: 500/686 loss: 0.013841839507222176
2023-10-30 07:15:59,022 | train | INFO | batch: 600/686 loss: 0.014289469458162785
2023-10-30 07:18:05,439 | train | INFO | --Val 2/30
2023-10-30 07:18:06,584 | train | INFO | batch: 0/125 loss: 0.013276608660817146
2023-10-30 07:20:02,022 | train | INFO | batch: 100/125 loss: 0.01638311706483364
2023-10-30 07:20:29,748 | train | INFO | Write row 2
2023-10-30 07:20:30,221 | train | INFO | --Train 3/30
2023-10-30 07:20:31,429 | train | INFO | batch: 0/686 loss: 0.018147118389606476
2023-10-30 07:23:01,176 | train | INFO | batch: 100/686 loss: 0.011924931779503822
2023-10-30 07:25:31,100 | train | INFO | batch: 200/686 loss: 0.0124400919303298
2023-10-30 07:28:00,905 | train | INFO | batch: 300/686 loss: 0.012954223901033401
2023-10-30 07:30:30,740 | train | INFO | batch: 400/686 loss: 0.01278010569512844
2023-10-30 07:33:00,688 | train | INFO | batch: 500/686 loss: 0.011293357238173485
2023-10-30 07:35:30,328 | train | INFO | batch: 600/686 loss: 0.011905346997082233
2023-10-30 07:37:36,499 | train | INFO | --Val 3/30
2023-10-30 07:37:37,634 | train | INFO | batch: 0/125 loss: 0.012954304926097393
2023-10-30 07:39:32,959 | train | INFO | batch: 100/125 loss: 0.01370268128812313
2023-10-30 07:40:00,577 | train | INFO | Write row 3
2023-10-30 07:40:01,061 | train | INFO | --Train 4/30
2023-10-30 07:40:02,262 | train | INFO | batch: 0/686 loss: 0.011872660368680954
2023-10-30 07:42:31,788 | train | INFO | batch: 100/686 loss: 0.009851617738604546
2023-10-30 07:45:01,624 | train | INFO | batch: 200/686 loss: 0.010721581988036633
2023-10-30 07:47:31,244 | train | INFO | batch: 300/686 loss: 0.010192254558205605
2023-10-30 07:50:01,116 | train | INFO | batch: 400/686 loss: 0.00993395783007145
2023-10-30 07:52:31,430 | train | INFO | batch: 500/686 loss: 0.011575013399124146
2023-10-30 07:55:01,299 | train | INFO | batch: 600/686 loss: 0.011794839054346085
2023-10-30 07:57:07,572 | train | INFO | --Val 4/30
2023-10-30 07:57:08,677 | train | INFO | batch: 0/125 loss: 0.010660543106496334
2023-10-30 07:59:04,148 | train | INFO | batch: 100/125 loss: 0.01260936539620161
2023-10-30 07:59:31,842 | train | INFO | Write row 4
2023-10-30 07:59:32,333 | train | INFO | --Train 5/30
2023-10-30 07:59:33,534 | train | INFO | batch: 0/686 loss: 0.010459650307893753
2023-10-30 08:02:03,282 | train | INFO | batch: 100/686 loss: 0.009687096811830997
2023-10-30 08:04:32,918 | train | INFO | batch: 200/686 loss: 0.010918186977505684
2023-10-30 08:07:02,630 | train | INFO | batch: 300/686 loss: 0.011203005909919739
2023-10-30 08:09:32,150 | train | INFO | batch: 400/686 loss: 0.01027405820786953
2023-10-30 08:12:02,051 | train | INFO | batch: 500/686 loss: 0.008204596117138863
2023-10-30 08:14:31,680 | train | INFO | batch: 600/686 loss: 0.010577262379229069
